Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Hecho Simultaneos,Tipo de Arma,Tipo de Implicado (2),No Victimas Fatales,Combatientes,Poblacion Civil,Lesionado,Fuente,
9,6,2000,Valle del Cauca,Florida,Cabecera Municipal,"Bienes Civiles, Pillaje y Lesionado",Fusiles y Artefactos Explosivos,Guerrilla-FARC y Jaime Bateman Cayon,,,,3,Noche y Niebla # 16 Junio Pp. 166,
10,6,2000,Cauca,Caldono,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,,,,,Noche y Niebla # 16 Junio Pp. 168,
15,6,2000,Caqueta,El Doncello,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 16 Junio Pp. 174,
16,6,2000,Cauca,Paez,Cabecera Municipal,Bienes Civiles y Pillaje,Cilindros Bomba y Artefactos Explosivos,Guerrilla-FARC,,,,,Noche y Niebla # 16 Junio Pp. 176,
21,6,2000,Narino,La Cruz,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,,3,3,,Noche y Niebla # 16 Junio Pp. 183,
25,6,2000,Santander,San Andres,Cabecera Municipal,Lesionado,,Guerrilla No Identificada,,,,1,Noche y Niebla # 16 Junio Pp. 190,
25,6,2000,Santander,Surata,Cabecera Municipal, ,,Guerrilla-ELN,,,,,Noche y Niebla # 16 Junio Pp. 190,
26,6,2000,Huila,Algeciras,Cabecera Municipal,"Bienes Civiles, Pillaje y Lesionado",,Guerrilla-FARC,2,2,,2,Noche y Niebla # 16 Junio Pp. 191,
4,7,2000,Risaralda,Mistrato,Cabecera Municipal,Lesionado,,Guerrilla-FARC,,,,1,Noche y Niebla # 17 Julio Pp. 52,
5,7,2000,Cauca,Piendamo,Cabecera Municipal,Bienes Civiles y Pillaje,Fusiles y Artefactos Explosivos,Guerrilla-FARC,,,,,Noche y Niebla # 17 Julio Pp. 53,
7,7,2000,Arauca,Arauca,Cabecera Municipal,,Cilindros Bomba,Guerrilla-FARC,,,,,Noche y Niebla # 17 Julio Pp. 57,
7,7,2000,Valle del Cauca,Pradera,Cabecera Municipal,"Bienes Civiles, Pillaje y Lesionado",Fusiles y Artefactos Explosivos,Guerrilla-FARC y Jaime Bateman Cayon,,,,4,Noche y Niebla # 17 Julio Pp. 56-57,
11,7,2000,Huila,Santa Maria,Cabecera Municipal,"Bienes Civiles, Pillaje, Civil Muerto y Lesionado",Cilindros Bomba,Guerrilla-FARC,1,,1,15,Noche y Niebla # 17 Julio Pp. 65,
12,7,2000,Tolima,Alpujarra,Cabecera Municipal,Bienes Civiles y Lesionado,Cilindros Bomba,Guerrilla-FARC,,,,3,Noche y Niebla # 17 Julio Pp. 67,
18,7,2000,Huila,Neiva,IP Vegalarga,,,Guerrilla-FARC,,,,,Noche y Niebla # 17 Julio Pp. 78,
21,7,2000,Bolivar,Montecristo,Cabecera Municipal,Bienes Civiles y Lesionado,Cilindros Bomba,Guerrilla-FARC,1,1,,10,Noche y Niebla # 17 Julio Pp. 84,
27,7,2000,Cauca,Puerto Tejada,Cabecera Municipal,Bienes Civiles y Pillaje,Artefactos Explosivos,Guerrilla-FARC,,,,,Noche y Niebla # 17 Julio Pp. 96,
7,8,2000,Caqueta,Milan,Cabecera Municipal,,"Fusiles, Granadas y Cilindro Bomba",Guerrilla-FARC,,,,,Noche y Niebla # 17 Agosto Pp. 121,
21,8,2000,Arauca,Fortul,Cabecera Municipal,Lesionado,Cilindros Bomba,Guerrilla-FARC,,,,1,Noche y Niebla # 17 Agosto Pp. 154,
21,8,2000,Narino,Ricaurte,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 17 Agosto Pp. 154,
29,8,2000,Arauca,Arauquita,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 17 Agosto Pp. 165,
29,8,2000,Arauca,Saravena,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 17 Agosto Pp. 165,
29,8,2000,Cauca,Miranda,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC y Jaime Bateman Cayon,2,2,,5,Noche y Niebla # 17 Agosto Pp. 168,
29,8,2000,Narino,Tangua,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 17 Agosto Pp. 167,
29,8,2000,Narino,El Tablon,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,,,,,Noche y Niebla # 17 Agosto Pp. 167,
