Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Tipo de Implicado (1),Tipo de Implicado (2),Nº Victimas,Fuente,
29,6,1986,Boyaca,Puerto Boyaca,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 59",
29,6,1986,Cauca,Corinto,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 60",
29,6,1986,Sucre,Corozal,,Fuerza Publica,Policia Nacional,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 59",
3,7,1986,Santander,Betulia,Sitio La Puntana,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 62",
5,7,1986,Santander,San Vicente de Chucuri,Vereda La Arruga,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 62",
6,7,1986,Cauca,Bolivar,IP Sucre,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 63",
8,7,1986,Choco,Riosucio,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 63",
13,7,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 64",
14,7,1986, Antioquia,Turbo,Corregimiento Currulao,Grupos Paramilitares,Grupos Paramilitares,3,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 64",
14,7,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 64",
15,7,1986,Cauca,Miranda,Vereda Monterredondo,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 64",
15,7,1986,Choco,Riosucio,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 65",
15,7,1986,Meta,Puerto Gaitan,,Fuerza Publica,Policia Nacional,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 64",
16,7,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 65",
17,7,1986,Cauca,Corinto,Vereda Quebradas,Desconocidos,Desconocidos,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 65",
20,7,1986,Cauca,Balboa,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 66",
21,7,1986,Caldas,Manizales,Cabecera Municipal,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 67",
21,7,1986,Valle del Cauca,Guacari,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 67",
22,7,1986,Quindio,Armenia,,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 67",
22,7,1986,Valle del Cauca,Bugalagrande,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 67",
23,7,1986,Quindio,Armenia,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 67",
24,7,1986, Antioquia,Caldas,Via a Medellin,Fuerza Publica,Policia Nacional,3,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 67",
26,7,1986,Huila ,Gigante,Vereda El Vergel ,Fuerza Publica,Ejercito Nacional,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 68",
28,7,1986, Antioquia,Cocorna,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 68",
28,7,1986,Meta,Acacias,,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 68",
29,7,1986,Meta,Granada,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 69",
30,7,1986,Meta,Granada,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 69",
5,8,1986,Santander,El Carmen de Chucuri,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 71",
7,8,1986,Distrito Capital,Bogota D.C.,Cabecera Municipal,Fuerza Publica,Ejercito Nacional,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 71",
9,8,1986,Valle del Cauca,Yumbo,Via a Cali,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 72",
10,8,1986,Huila ,Campoalegre,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 72",
11,8,1986,Santander,El Carmen de Chucuri,Vereda Barro Amarillo y Vereda San Carlos,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 72",
11,8,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,3,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 72",
14,8,1986,Santander,Sabana de Torres,Zona Rural,Desconocidos,Desconocidos,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 73",
16,8,1986,Caqueta,La Montanita,IP Maracaibo,Fuerza Publica,Ejercito Nacional,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 73",
16,8,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 74",
17,8,1986,Santander,Santa Elena del Opon,Vereda San Isidro,Fuerza Publica,Ejercito Nacional,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 74",
20,8,1986,Huila ,Algeciras,Vereda Betania,Fuerza Publica,Ejercito Nacional,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 75",
22,8,1986,Quindio,Armenia,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,3,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 75",
23,8,1986,Quindio,Circasia,,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 75",
24,8,1986,Santander,Puerto Parra,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 76",
29,8,1986,Huila ,Algeciras,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 77",
29,8,1986,Santander,Bucaramanga,Via a Cafe Madrid,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 77",
30,8,1986,Risaralda,Dosquebradas,Cabecera Municipal,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 78",
30,8,1986,Santander,Barrancabermeja,,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 78",
30,8,1986,Cauca,El Tambo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 78",
30,8,1986,Cauca,Rosas,Vereda Pan de Azucar,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 78",
31,8,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 79",
1,9,1986,Meta,Villavicencio,Cabecera Municipal,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 79",
1,9,1986,Cauca,Villa Rica,Vereda Manzanita,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 80",
3,9,1986,Meta,Villavicencio,Via a Acacias,Desconocidos,Desconocidos,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 81",
3,9,1986,Narino,Pasto,,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 81",
7,9,1986,Cauca,Inza,Vereda Hato,Fuerza Publica,Ejercito Nacional,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 83",
7,9,1986,Santander,San Vicente de Chucuri,Vereda Santa Ines,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 83",
7,9,1986,Arauca,Saravena,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 82",
7,9,1986,Putumayo,Mocoa,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 82",
8,9,1986, Antioquia,Apartado,Zona Rural,Grupos Paramilitares,Grupos Paramilitares,3,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 83",
8,9,1986, Antioquia,Barbosa,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 83",
8,9,1986, Antioquia,Turbo,Corregimiento Currulao,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 83",
8,9,1986,Cauca,Cajibio,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 83",
12,9,1986,Bolivar,Morales,Vereda Corcovado,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 85",
12,9,1986,Santander,Santa Elena del Opon,Vereda Cometales,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 85",
14,9,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 86",
15,9,1986,Santander,Santa Elena del Opon,Corregimiento San Pablo,Grupos Paramilitares,Grupos Paramilitares,3,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 86",
17,9,1986,Santander,Surata,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 86",
17,9,1986,Valle del Cauca,Palmira,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 86",
18,9,1986,Valle del Cauca,Cali,,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 87",
19,9,1986,Valle del Cauca,Zarzal,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 88",
20,9,1986, Antioquia,Itagüi,,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 88",
20,9,1986,Cesar,Valledupar,,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 89",
20,9,1986, Antioquia,Caldas,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 88",
20,9,1986,Valle del Cauca,Palmira,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 89",
24,9,1986, Antioquia,Caracoli,Vereda Sardinas,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 91",
26,9,1986, Antioquia,Medellin,,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 92",
26,9,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 92",
28,9,1986,Putumayo,Mocoa,Via a Pepinito,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 93",
29,9,1986,Cundinamarca,Yacopi,Vereda Los Almendros,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 94",
29,9,1986,Santander,Barbosa,Via a Guavata,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 93",
1,10,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 94",
3,10,1986,Valle del Cauca,Cali,,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 94",
5,10,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 95",
7,10,1986,Santander,Chipata,Vereda San Miguel,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 95",
7,10,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 95",
8,10,1986,Valle del Cauca,Sevilla,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 95",
9,10,1986,Cauca,El Tambo,Vereda Palmicha,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 96",
9,10,1986,Risaralda,Pereira,Via a Marsella,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 96",
9,10,1986,Meta,Granada,IP Puerto Caldas,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 96",
9,10,1986,Meta,Puerto Lleras,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 96",
10,10,1986,Valle del Cauca,Cali,,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 96",
10,10,1986,Santander,Bucaramanga,,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 96",
14,10,1986, Antioquia,Santo Domingo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 97",
15,10,1986,Santander,Bucaramanga,Cabecera Municipal - Barrio San Francisco,Grupos Paramilitares,Grupos Paramilitares,3,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 97",
16,10,1986, Antioquia,Andes,IP Taparto,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 98",
17,10,1986,Caqueta,Florencia,IP San Antonio de Getucha - Vereda El Danubio,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 98",
17,10,1986,Santander,Bolivar,Vereda Granadilla,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 98",
19,10,1986,Valle del Cauca,Tulua,,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 98",
19,10,1986,Tolima ,Rioblanco,,Fuerza Publica,Ejercito Nacional,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 98",
19,10,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 98",
21,10,1986,Caqueta,San Vicente del Caguan,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 99",
24,10,1986,Santander,Betulia,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 101",
26,10,1986,Boyaca,Muzo,Cabecera Municipal,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 101",
26,10,1986, Antioquia,Turbo,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 101",
27,10,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 101",
28,10,1986,Santander,Cimitarra,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 102",
29,10,1986,Meta,Cubarral,Sitio El Dorado,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 102",
1,11,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 103",
2,11,1986,Meta,Acacias,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 103",
2,11,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 103",
4,11,1986,Cauca,Santander de Quilichao,,Fuerza Publica,Policia Nacional,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 103",
8,11,1986,Meta,Acacias,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 105",
9,11,1986,Valle del Cauca,Buenaventura,Cabecera Municipal - Barrio Rockfeller,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 105",
9,11,1986,Caldas,Aguadas,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 105",
10,11,1986,Cauca,Morales,Vereda Quingos,Desconocidos,Desconocidos,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 106",
10,11,1986, Antioquia,Apartado,,Grupos Paramilitares,Grupos Paramilitares,3,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 105",
10,11,1986, Antioquia,Chigorodo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 106",
10,11,1986,Meta,Villavicencio,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 106",
11,11,1986, Antioquia,Apartado,,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 107",
15,11,1986,Santander,Barrancabermeja,,Desconocidos,Desconocidos,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 108",
18,11,1986,Meta,San Martin,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 109",
18,11,1986,San Andres Isla,,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 109",
19,11,1986,Meta,La Macarena,Vereda Puerto Esperanza y Vereda San Jose,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 109",
20,11,1986,Cauca,Bolivar,Vereda La Playa,Fuerza Publica,Ejercito Nacional,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 110",
20,11,1986,Cauca,Morales,,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 110",
20,11,1986,Cauca,Patia (El Bordo),,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 110",
20,11,1986,Valle del Cauca,Candelaria,,Grupos Paramilitares,Grupos Paramilitares,2,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 110",
21,11,1986,Valle del Cauca,Yumbo,,Grupos Paramilitares,Grupos Paramilitares,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 110",
22,11,1986,Santander,Puerto Parra,Corregimiento Las Montoyas,Fuerza Publica,Ejercito Nacional,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 111",
23,11,1986,Valle del Cauca,Sevilla,,Desconocidos,Desconocidos,1,"Comite Permanente Por la Defensa de los Derechos Humanos; Itinerario de la Represion y la Violencia Institucionalizadas 1986, Pp. 111",
