Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Tipo de Implicado (1),Tipo de Implicado (2),Nº Victimas,Fuente,
11,2,1999,Valle del Cauca,Cali,,Desconocidos,Desconocidos,1,Noche y Niebla # 11 Pp. 67,
11,2,1999, Antioquia,Turbo,Bahia Margarita,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 11 Pp. 67,
11,2,1999,Cordoba,Tierralta,Vereda El gallo,Grupos Paramilitares,Grupos Paramilitares,2,Noche y Niebla # 11 Pp. 67,
12,2,1999, Antioquia,Medellin,Barrio Aranjuez,Desconocidos,Desconocidos,1,"Noche y Niebla # 11, Pp. 68",
12,2,1999,Cesar,San Diego,Centro Cultural Carlos Murgas,Grupo Armado No Identificado,Grupo Armado No Identificado,2,Noche y Niebla # 11 Pp. 67,
13,2,1999,Choco,Riosucio,Sitio Punta de Piedra,Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 11, Pp. 69",
13,2,1999,Bolivar,San Pablo,Cabecera Municipal,Guerrilla  ,Guerrilla-ELN,1,"Noche y Niebla # 11, Pp. 68",
14,2,1999,Huila,Algeciras,Residencia,Desconocidos,Desconocidos,1,"Noche y Niebla # 11, Pp. 70",
14,2,1999,Valle del Cauca,Cali,Barrio Santa Monica - Restaurante Tizones,Desconocidos,Desconocidos,1,"Noche y Niebla # 11, Pp. 69",
14,2,1999,Valle del Cauca,Cartago,Barrio Cipres - residencia,Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 11, Pp. 69",
15,2,1999,Sucre,Santiago de Tolu,Via a Corregimiento Pita Baja,Guerrilla  ,Guerrilla-FARC,3,"Noche y Niebla # 11, Pp. 71",
15,2,1999, Antioquia,Medellin,Barrio 12 de octubre - cerca a su residencia,Desconocidos,Desconocidos,1,"Noche y Niebla # 11, Pp. 72",
15,2,1999, Antioquia,Medellin,carrera 65 con calle 44 Barrio Rosales,Desconocidos,Desconocidos,1,"Noche y Niebla # 11, Pp. 73",
15,2,1999,Cesar,Agustin Codazzi,Hacienda El Cairo,Desconocidos,Desconocidos,1,"Noche y Niebla # 11, pag. 72",
15,2,1999, Antioquia,Andes,Vereda El Granizo,Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 11, Pp. 71",
15,2,1999, Antioquia,Salgar,Vereda Liborina,Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 11, Pp. 71",
15,2,1999, Antioquia,San Luis,Vereda San Joaquin,Guerrilla  ,Guerrilla-ELN,1,"Noche y Niebla # 11, Pp. 72",
15,2,1999, Antioquia,Argelia,Zona Rural,Guerrilla  ,Guerrilla-FARC,1,"Noche y Niebla # 11, Pp. 72",
16,2,1999, Antioquia,Ituango,Corregimiento Santa Rita-Vereda San Marcos,Desconocidos,Desconocidos,3,"Noche y Niebla # 11, Pp. 73",
16,2,1999,Cesar,Pailitas,Estacion de servicio Gabriela,Grupo Armado No Identificado,Grupo Armado No Identificado,2,"Noche y Niebla # 11, Pp. 74",
16,2,1999, Antioquia,Antioquia,Veredas El Rodeo y Los Azules,Grupos Paramilitares,Grupos Paramilitares,3,"Noche y Niebla # 11, Pp. 74",
16,2,1999, Antioquia,Maceo,,Guerrilla  ,Guerrilla-ELN,1,"Noche y Niebla # 11, Pp. 73",
17,2,1999, Antioquia,Medellin,Liceo Nocturno Jose Antonio Galan,Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 11, Pp. 74",
17,2,1999, Antioquia,Turbo,Zona del Cacarica,Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 11, Pp. 76",
17,2,1999,Distrito Capital,Bogota D.C.,Barrio Centenario,Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 11, Pp. 74",
17,2,1999,Ecuador,Exterior,,Grupos Paramilitares,Grupos Paramilitares,3,"Noche y Niebla # 11, Pp. 76",
17,2,1999, Antioquia,Argelia,Vereda San Miguel,Guerrilla  ,Guerrilla-FARC,2,"Noche y Niebla # 11, Pp. 75",
18,2,1999, Antioquia,San Rafael,Inspeccion de Policia El Bizcocho,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Noche y Niebla # 11, pag. 77",
18,2,1999,Atlantico,Barranquilla,Barrio Los andes,Desconocidos,Desconocidos,1,"Noche y Niebla # 11, Pp. 76",
20,2,1999,Tolima,Ibague,Sitio La Ye-Via San Juan de la China-Lisboa,Desconocidos,Desconocidos,1,"Noche y Niebla # 11, Pp. 79",
20,2,1999,Bolivar,San Juan Nepomuceno,Via a Corregimiento San Jose del Penon,Grupo Armado No Identificado,Grupo Armado No Identificado,2,"Noche y Niebla # 11, Pp. 80",
20,2,1999,Tolima,Ibague,Vereda El Rubi,Guerrilla  ,Guerrilla-FARC,1,"Noche y Niebla # 11, Pp. 79-80",
21,2,1999,Cauca,Corinto,Cabecera Municipal,Grupo Armado No Identificado,Grupo Armado No Identificado,3,"Noche y Niebla # 11, Pp. 81",
23,2,1999,Tolima,Rioblanco,IP Herrera,Grupos Paramilitares,Grupos Paramilitares,3,"Noche y Niebla # 11, Pp. 83",
